Customer_ID,Age,Purchase_Date,Product_Category,Purchase_Amount,Quantity,Discount_Percentage,Shipping_Days,Customer_Satisfaction,Return_Status,Payment_Method,Region
1395,31,06-09-23,Home,135.14,9,10,19,3,Not Returned,UPI,North
1397,73,18-09-24,Books,33.52,4,25,12,3,In Process,Debit Card,East
1151,60,25-10-24,Home,71.58,8,25,16,5,Not Returned,PayPal,South
1294,50,20-09-23,Electronics,32.15,5,0,18,5,Not Returned,UPI,West
1418,36,28-08-23,Books,65.13,1,0,13,2,Not Returned,Credit Card,South
1468,53,26-09-24,Clothing,74.67,6,25,12,3,Not Returned,Debit Card,North
1148,70,02-01-24,Books,59.66,7,5,7,3,Returned,PayPal,West
1330,73,30-06-23,Home,66.25,1,0,17,,In Process,Debit Card,North
1485,55,02-03-24,Books,81.68,6,10,3,4,Not Returned,Credit Card,North
1442,64,21-12-24,Electronics,23.5,2,0,7,5,Returned,Debit Card,West
1426,35,06-02-24,Home,78.95,2,5,9,5,Not Returned,Debit Card,North
1412,31,24-11-24,Electronics,21.2,2,0,3,5,Not Returned,UPI,North
1317,41,26-10-23,Sports,26.4,6,5,11,1,Not Returned,UPI,West
1028,73,11-01-24,Sports,41.22,6,25,22,1,Not Returned,UPI,East
1344,43,13-11-23,Home,66.81,2,20,1,4,Returned,Credit Card,South
1311,20,17-11-23,Electronics,75.07,2,0,23,2,Not Returned,UPI,Central
1356,31,13-04-24,Books,23.11,5,25,13,4,Not Returned,Debit Card,South
1400,51,04-07-24,Books,106.47,7,5,17,4,Not Returned,Credit Card,West
1372,61,14-01-23,Clothing,29.99,6,15,27,1,Returned,Credit Card,East
1125,74,16-06-23,Clothing,24.09,9,20,4,2,Not Returned,Credit Card,North
1385,,20-06-24,Books,70.14,7,10,24,3,Not Returned,PayPal,South
1142,34,03-07-23,Sports,82.6,1,0,18,5,Not Returned,Credit Card,East
1134,34,04-09-23,Home,70.59,8,15,25,5,Not Returned,PayPal,North
1003,26,18-06-24,Clothing,55.41,1,5,21,4,Not Returned,UPI,Central
1252,27,09-10-23,Home,22.01,1,20,,4,Not Returned,PayPal,North
1285,23,27-02-24,Electronics,77.48,8,5,23,3,Not Returned,Debit Card,West
1214,18,13-06-23,Clothing,42.25,5,25,1,3,Not Returned,Credit Card,West
1195,66,05-09-23,Books,64.87,6,15,26,2,Not Returned,PayPal,Central
1483,50,28-11-23,Books,528.5,4,20,3,1,Not Returned,Debit Card,South
1283,58,02-10-23,Home,111.04,4,15,22,5,Not Returned,UPI,South
1350,37,01-04-24,Clothing,30.89,3,5,12,4,Not Returned,Debit Card,Central
1173,20,09-01-24,Sports,77.01,8,10,22,5,Not Returned,PayPal,East
1169,73,30-01-23,Clothing,300.43,3,25,29,1,Not Returned,PayPal,South
1266,27,24-06-24,Electronics,50.32,4,15,27,2,Not Returned,Debit Card,East
1247,32,09-11-23,Sports,25.93,7,25,28,1,Returned,UPI,South
1013,52,30-08-24,Sports,25.66,5,10,23,2,Not Returned,UPI,South
1476,50,25-12-24,Sports,58.82,1,15,24,5,Not Returned,Credit Card,East
1188,18,10-02-24,Home,48.87,9,20,24,5,Not Returned,Debit Card,West
1319,,25-04-23,Clothing,20.29,6,25,12,4,In Process,PayPal,East
1427,57,19-11-23,Books,256.97,5,15,6,4,Not Returned,PayPal,South
1335,32,03-02-23,Books,119.51,6,10,9,5,Returned,Debit Card,West
1222,39,19-02-24,Clothing,545.68,5,10,14,5,Not Returned,PayPal,West
1338,43,28-05-24,Clothing,21.3,6,20,12,2,Returned,PayPal,East
1042,66,28-12-23,Books,77.49,4,15,3,5,Not Returned,Debit Card,North
1168,21,17-05-23,Electronics,32.97,3,10,14,3,Returned,Debit Card,West
1269,62,20-09-23,Clothing,74.96,6,25,7,5,Not Returned,Debit Card,Central
1388,52,10-05-23,Sports,105.52,9,25,17,4,Returned,UPI,East
1486,30,19-10-24,Clothing,21.84,7,10,15,3,In Process,Credit Card,East
1185,39,08-07-23,Books,22.05,4,15,9,3,Not Returned,UPI,West
1036,,13-08-24,Electronics,91,2,20,13,5,Returned,Debit Card,West
1147,23,20-03-24,Electronics,132.6,1,10,4,1,Not Returned,UPI,South
1060,70,26-08-23,Sports,910.25,9,20,24,1,Not Returned,Debit Card,Central
1106,54,01-07-23,Electronics,79.37,4,10,17,1,Returned,Debit Card,East
1117,51,09-08-24,Home,80.61,2,15,26,,Not Returned,PayPal,East
1132,59,12-06-23,Electronics,29.17,1,25,27,5,Not Returned,Credit Card,North
1475,72,21-01-24,Home,150.87,8,15,6,2,Not Returned,PayPal,South
1051,72,08-12-24,Books,32.47,3,15,12,2,Not Returned,UPI,West
1072,63,26-05-23,Sports,119.89,5,10,28,3,Not Returned,PayPal,Central
1383,28,04-04-24,Clothing,59.95,7,5,5,,Not Returned,PayPal,North
1150,30,23-07-23,Books,50.1,8,25,3,,Not Returned,UPI,South
1341,61,25-12-23,Clothing,45.44,5,10,28,5,Not Returned,UPI,East
1430,,27-03-23,Electronics,84.43,7,0,24,4,Not Returned,UPI,Central
1495,46,05-12-23,Home,49.64,8,10,25,2,Not Returned,Debit Card,West
1050,65,15-05-23,Electronics,593.3,5,0,14,4,Not Returned,Debit Card,West
1452,23,12-02-24,Sports,276.97,2,15,8,1,Not Returned,PayPal,West
1065,27,25-07-23,Clothing,46.33,7,25,2,5,Not Returned,UPI,Central
1460,32,28-03-23,Sports,29.64,3,20,3,2,Not Returned,UPI,West
1288,51,01-02-24,Clothing,121.59,5,15,10,4,Not Returned,UPI,East
1421,21,31-07-24,Home,27.33,9,25,13,5,Not Returned,Debit Card,East
1490,62,11-10-24,Books,791.22,2,5,61,4,Returned,Debit Card,Central
1027,,26-05-23,Sports,63.63,1,25,16,3,Not Returned,Debit Card,West
1263,37,13-04-23,Electronics,171.63,2,15,14,2,Not Returned,UPI,West
1043,30,26-01-23,Books,49.52,4,25,10,4,Not Returned,PayPal,East
1076,30,16-06-24,Sports,121.48,4,0,25,4,Not Returned,Credit Card,East
1405,57,22-08-23,Clothing,50.05,8,5,28,5,Not Returned,UPI,North
1384,32,02-10-24,Books,22.22,3,10,1,3,Returned,UPI,West
1435,50,03-03-23,Electronics,132.31,8,15,23,1,Not Returned,UPI,East
1408,25,08-01-23,Clothing,86.76,8,25,15,3,Not Returned,Credit Card,Central
1313,48,19-01-23,Clothing,91.83,3,20,2,1,Not Returned,UPI,South
1074,68,18-08-24,Home,192.4,4,15,8,1,Returned,Debit Card,West
1098,47,09-11-23,Home,38.58,5,10,12,2,Not Returned,Debit Card,West
1451,68,21-07-24,Clothing,75.36,9,5,28,3,Not Returned,Debit Card,Central
1227,31,11-12-24,Sports,23.82,6,20,3,3,Not Returned,Credit Card,East
1246,68,08-11-24,Clothing,31.52,7,15,10,5,Not Returned,PayPal,North
1399,26,02-07-24,Home,36.07,1,20,10,2,Not Returned,UPI,East
1217,52,26-08-23,Electronics,44.8,7,25,2,5,Not Returned,PayPal,South
1087,43,16-06-24,Electronics,52.84,6,5,5,1,Not Returned,UPI,North
1463,50,28-06-24,Electronics,58.37,7,5,17,2,In Process,Credit Card,East
1441,50,03-03-23,Home,56.6,1,15,8,2,Not Returned,UPI,Central
1296,39,17-01-24,Electronics,45.03,4,25,18,2,Not Returned,UPI,South
1008,45,24-09-24,Sports,69.96,6,15,5,3,Not Returned,UPI,Central
1048,18,15-01-24,Home,28.93,3,0,17,1,Not Returned,Debit Card,West
1271,64,13-08-24,Home,21.52,9,5,7,5,Not Returned,UPI,South
1146,51,27-01-23,Clothing,24.18,5,10,15,3,Not Returned,Credit Card,North
1063,70,27-08-24,Home,36.03,9,0,13,2,Not Returned,Debit Card,East
1445,31,16-08-24,Clothing,58.83,2,10,3,5,In Process,PayPal,East
1423,62,08-03-23,Clothing,45.9,9,20,2,2,Not Returned,UPI,South
1078,18,24-02-23,Electronics,93.68,7,5,26,1,Not Returned,Credit Card,Central
1258,43,23-05-24,Electronics,22.12,3,0,64,3,Not Returned,UPI,East
1355,43,21-02-23,Electronics,150.89,5,10,19,2,Not Returned,UPI,South
1500,21,20-12-24,Clothing,262.41,5,10,83,3,Not Returned,Debit Card,Central
1302,21,23-01-24,Electronics,208.99,4,20,15,3,Not Returned,Debit Card,West
1454,20,23-10-24,Books,878.32,3,15,22,3,Not Returned,UPI,West
1256,56,11-02-24,Home,39,4,25,15,1,Not Returned,UPI,Central
1413,,24-11-24,Electronics,71.36,5,20,12,1,Not Returned,PayPal,West
1322,45,05-06-24,Electronics,45.22,3,0,25,5,Not Returned,UPI,South
1433,,27-03-24,Clothing,24.14,1,5,4,2,Not Returned,Credit Card,East
1467,44,28-07-23,Home,41.35,4,10,21,4,Not Returned,Debit Card,West
1436,40,26-05-24,Home,30.65,2,15,13,2,Not Returned,PayPal,Central
1380,26,25-07-23,Sports,184.74,5,20,21,5,Not Returned,UPI,Central
1066,27,01-02-24,Home,132.26,1,5,11,3,Returned,PayPal,North
1097,22,17-01-24,Home,99.87,7,5,15,2,Not Returned,Credit Card,West
1297,38,16-07-24,Clothing,72.67,9,10,28,5,Not Returned,PayPal,East
1325,32,28-11-24,Sports,49.77,1,0,29,1,Returned,PayPal,South
1088,51,10-04-24,Sports,26.24,5,25,,3,Returned,Credit Card,Central
1342,22,12-12-23,Sports,63.4,9,15,11,1,Returned,PayPal,South
1257,39,14-11-24,Clothing,55.39,8,15,28,3,Not Returned,Debit Card,South
1120,,29-01-24,Home,39.76,9,10,12,1,Not Returned,PayPal,South
1243,35,29-10-24,Clothing,101.91,3,20,17,2,Not Returned,Debit Card,South
1402,52,20-10-24,Home,773.24,2,25,22,1,Returned,PayPal,Central
1323,,26-04-24,Home,79.45,4,20,17,5,Not Returned,Credit Card,South
1009,65,14-03-24,Clothing,35.04,3,5,10,5,Not Returned,PayPal,South
1239,63,16-04-24,Sports,86.67,6,10,6,,Returned,UPI,South
1056,48,03-11-24,Books,170.66,8,25,4,3,In Process,UPI,South
1014,23,05-06-23,Home,91.57,3,5,6,5,Not Returned,Credit Card,Central
1474,44,12-10-24,Electronics,264.53,9,5,5,3,Returned,Debit Card,South
1425,42,12-02-23,Home,83.22,1,10,9,1,Not Returned,PayPal,North
1366,67,09-10-23,Electronics,38.65,2,0,26,2,Not Returned,Debit Card,West
1089,71,09-10-24,Electronics,26.69,7,0,22,1,Not Returned,Credit Card,South
1320,19,02-07-23,Home,39.62,5,25,17,1,Not Returned,Debit Card,East
1407,46,12-10-23,Electronics,29.2,5,0,3,5,Returned,Debit Card,Central
1197,43,13-06-24,Clothing,31.83,2,25,90,4,Not Returned,PayPal,East
1265,21,02-10-24,Electronics,121.22,9,25,23,3,Not Returned,PayPal,Central
1004,50,13-03-24,Home,20.32,6,5,10,1,Returned,Debit Card,North
1351,66,03-01-24,Home,20.38,5,15,4,5,Not Returned,Credit Card,Central
1340,,13-03-23,Books,43.92,9,15,29,1,Not Returned,PayPal,West
1002,34,25-11-24,Books,109.23,4,25,15,4,Not Returned,PayPal,East
1202,74,03-03-23,Clothing,82.91,9,10,4,2,Not Returned,UPI,South
1450,56,02-03-23,Home,40.25,6,0,21,1,Not Returned,PayPal,Central
1459,69,11-02-23,Books,178.06,6,10,11,3,Not Returned,Debit Card,East
1053,45,16-11-24,Clothing,77.05,9,15,12,4,Not Returned,Debit Card,South
1154,28,24-12-23,Sports,24.26,1,25,20,5,Not Returned,Credit Card,North
1280,61,03-08-24,Home,121.3,3,5,19,1,Not Returned,PayPal,Central
1301,,07-02-23,Clothing,22.47,7,20,24,1,Not Returned,PayPal,South
1110,28,26-02-23,Sports,52.75,5,20,14,2,Not Returned,Credit Card,East
1183,45,06-11-24,Electronics,43.18,1,15,12,5,Not Returned,Credit Card,Central
1406,39,15-10-24,Electronics,64.17,7,0,9,3,Not Returned,Credit Card,South
1255,34,04-05-23,Books,155.81,1,10,24,5,Not Returned,Credit Card,East
1414,52,23-02-24,Home,66.71,3,5,9,4,Not Returned,Credit Card,West
1084,48,16-02-23,Clothing,146.82,6,5,28,5,Returned,PayPal,South
1101,34,23-01-23,Electronics,23.76,2,0,,5,Not Returned,Credit Card,East
1482,27,22-05-24,Home,26.83,1,5,10,1,Not Returned,Credit Card,North
1139,,23-09-23,Home,58.97,6,20,,5,Not Returned,Debit Card,South
1205,39,18-03-24,Electronics,33.56,9,0,1,2,Not Returned,Credit Card,East
1010,46,31-05-24,Home,70.26,7,10,28,2,Not Returned,Credit Card,North
1018,64,19-01-24,Sports,70.07,2,15,9,2,Not Returned,Credit Card,South
1373,19,10-03-23,Books,77.15,9,0,25,1,Not Returned,UPI,Central
1115,55,07-04-24,Electronics,54.55,2,25,19,4,Not Returned,PayPal,South
1193,63,19-10-24,Books,47.38,8,0,18,2,Not Returned,Debit Card,West
1295,70,03-04-23,Books,73.78,6,10,14,,In Process,PayPal,East
1443,72,01-10-23,Clothing,100.56,6,10,4,4,Not Returned,Debit Card,North
1449,68,02-10-23,Home,39.6,2,15,12,1,Not Returned,UPI,East
1274,39,28-10-24,Books,31.27,9,0,9,1,Not Returned,Credit Card,North
1030,71,03-02-23,Books,22.34,3,0,5,1,Not Returned,PayPal,East
1353,64,25-04-24,Sports,134.15,3,20,18,1,Returned,UPI,Central
1374,30,13-05-24,Electronics,30.01,6,0,24,1,Not Returned,Credit Card,West
1165,25,07-03-23,Sports,54.48,4,25,5,2,Not Returned,Credit Card,West
1251,45,03-08-23,Sports,157.92,8,15,2,3,Not Returned,Credit Card,East
1316,53,23-05-24,Clothing,105.14,3,25,2,1,Not Returned,PayPal,North
1309,26,03-08-24,Clothing,45.89,8,15,,2,Not Returned,Credit Card,South
1186,38,26-04-24,Electronics,120.88,9,25,24,4,Not Returned,UPI,West
1068,34,08-08-24,Home,31.98,4,10,19,5,Not Returned,Credit Card,South
1001,71,01-10-23,Sports,105.18,5,0,29,1,Not Returned,Credit Card,Central
1367,73,02-12-24,Electronics,67.12,3,15,23,5,Not Returned,Debit Card,West
1359,28,17-11-24,Electronics,25.35,5,0,6,1,Not Returned,Credit Card,Central
1218,69,28-06-24,Books,594.12,1,0,8,2,In Process,Debit Card,Central
1157,74,05-05-24,Electronics,28.69,3,25,17,5,In Process,UPI,East
1107,38,27-10-23,Home,118.35,1,10,24,1,Not Returned,UPI,Central
1352,29,17-09-24,Home,72.13,3,5,4,1,Not Returned,Credit Card,South
1211,34,05-02-24,Home,122.3,3,0,5,4,Not Returned,Debit Card,South
1248,42,06-12-24,Sports,35.72,9,0,16,3,Not Returned,UPI,West
1071,26,17-07-24,Home,42.98,1,0,3,4,Not Returned,Credit Card,Central
1026,22,27-07-24,Sports,23.49,4,25,13,4,In Process,PayPal,East
1061,40,11-10-23,Electronics,70.88,3,15,29,2,Not Returned,UPI,South
1198,62,16-10-24,Books,68.77,1,10,7,5,Not Returned,PayPal,West
1216,66,23-06-23,Books,28.93,7,20,3,1,Not Returned,UPI,East
1203,64,28-04-23,Electronics,139.86,9,25,25,4,Returned,Debit Card,Central
1041,44,31-03-23,Electronics,93.57,9,15,19,4,Not Returned,Credit Card,South
1002,34,25-11-24,Books,109.23,4,25,15,4,Not Returned,PayPal,East
1261,34,24-03-24,Books,187.79,5,15,8,2,Not Returned,UPI,South
1241,64,17-11-24,Home,52.18,1,5,2,2,Not Returned,UPI,Central
1403,,04-01-24,Clothing,25.02,8,10,16,,Not Returned,PayPal,North
1102,65,09-04-24,Books,44.92,5,20,,4,Not Returned,PayPal,Central
1199,,09-10-24,Clothing,69.92,8,20,7,4,Not Returned,PayPal,West
1391,66,24-12-24,Clothing,31.92,4,25,108,2,Not Returned,UPI,East
1124,69,22-03-23,Sports,21.69,1,25,26,1,Not Returned,Credit Card,West
1172,49,13-01-23,Home,31.13,6,5,18,4,Not Returned,PayPal,East
1149,19,07-02-23,Home,104.99,5,25,13,4,Not Returned,Credit Card,North
1081,,22-09-24,Home,69.2,4,15,94,2,Not Returned,Credit Card,West
1419,31,05-05-24,Home,54.34,3,0,18,1,Not Returned,PayPal,East
1077,21,17-07-24,Books,94.94,6,20,,4,Not Returned,PayPal,Central
1420,43,03-07-24,Clothing,240.26,3,0,5,3,Returned,UPI,West
1394,67,20-07-24,Sports,111.59,2,15,20,5,Not Returned,PayPal,East
1194,51,07-04-24,Clothing,36.21,2,0,8,1,Not Returned,Debit Card,Central
1029,50,08-03-24,Sports,68.5,4,10,4,3,Not Returned,UPI,North
1250,54,14-09-24,Home,57.88,8,5,28,1,Not Returned,Debit Card,South
1499,64,12-12-24,Books,54.35,5,25,26,5,Not Returned,PayPal,Central
1010,46,31-05-24,Home,70.26,7,10,28,2,Not Returned,Credit Card,North
1328,66,22-03-24,Home,32.89,2,10,22,4,Not Returned,Credit Card,West
1075,62,31-05-24,Electronics,30.26,4,15,22,1,Not Returned,UPI,South
1057,22,06-03-23,Clothing,28.19,9,25,19,2,Not Returned,Debit Card,East
1015,35,13-05-23,Clothing,58.96,2,10,4,5,Not Returned,Credit Card,South
1471,74,09-01-23,Home,33.37,5,0,10,4,Not Returned,PayPal,East
1465,47,03-12-24,Books,49.93,4,10,22,3,Returned,Credit Card,East
1472,50,09-12-24,Books,45.48,6,25,14,3,Not Returned,Credit Card,West
1264,42,14-01-24,Electronics,70.96,9,15,24,4,Not Returned,Debit Card,North
1303,47,30-01-24,Books,46.12,3,25,22,4,Not Returned,PayPal,West
1348,37,03-02-23,Books,175.64,6,0,27,1,Not Returned,Debit Card,West
1159,72,23-06-23,Sports,32.37,1,10,1,,Not Returned,Credit Card,East
1497,22,02-03-24,Clothing,56.25,9,10,26,,Not Returned,UPI,East
1438,50,22-08-24,Sports,32.85,7,10,2,2,Not Returned,Credit Card,West
1470,55,04-12-24,Clothing,150.99,8,0,21,4,Not Returned,Credit Card,East
1324,21,24-07-23,Sports,44.6,7,0,26,1,Not Returned,PayPal,North
1432,49,09-07-24,Books,36.02,7,25,1,2,Not Returned,Debit Card,North
1220,64,11-09-24,Books,73.46,2,15,9,1,Not Returned,Credit Card,Central
1307,41,12-01-24,Clothing,87.06,4,25,23,3,Not Returned,Debit Card,South
1035,66,05-12-24,Clothing,26.97,5,20,2,3,Not Returned,PayPal,South
1012,63,09-12-24,Books,95.67,9,10,,1,Not Returned,Debit Card,South
1011,30,16-01-23,Home,58.82,4,20,5,3,Not Returned,UPI,North
1491,41,29-11-23,Home,158.2,3,10,20,1,Not Returned,Credit Card,West
1094,18,14-02-24,Electronics,23.32,5,0,11,2,Not Returned,UPI,East
1462,46,18-04-24,Books,31.22,1,15,25,2,Returned,PayPal,South
1209,60,04-01-23,Clothing,53.89,4,15,8,5,Returned,UPI,North
1234,68,26-12-23,Clothing,68,4,20,2,3,Not Returned,UPI,South
1127,50,20-08-24,Electronics,27.12,8,0,11,2,Returned,PayPal,South
1025,62,29-11-23,Home,81.58,1,25,17,5,Not Returned,Debit Card,East
1024,67,25-09-23,Sports,37.9,6,15,20,4,Not Returned,Debit Card,West
1370,40,20-02-23,Clothing,46.68,9,10,1,5,Not Returned,Debit Card,Central
1277,25,05-08-24,Home,24.93,7,25,21,1,Not Returned,UPI,West
1164,33,27-01-24,Sports,73.75,4,5,,4,Not Returned,Credit Card,South
1049,38,04-02-24,Books,99.19,3,10,21,5,Not Returned,UPI,East
1129,32,06-01-23,Home,78.47,9,20,24,4,Not Returned,Debit Card,North
1138,27,28-05-24,Clothing,22.67,8,15,,3,Not Returned,Credit Card,South
1237,64,24-07-23,Home,29.17,7,0,19,2,Returned,Debit Card,East
1498,46,26-02-23,Home,145.91,4,5,28,3,Not Returned,Credit Card,Central
1171,20,09-05-24,Sports,72.54,5,10,16,3,Not Returned,UPI,East
1007,30,12-02-23,Sports,218.66,8,25,29,4,Not Returned,PayPal,West
1404,18,26-08-24,Electronics,68.89,4,25,7,4,Returned,Credit Card,Central
1200,26,23-07-24,Sports,86.05,2,10,3,5,Not Returned,Credit Card,East
1272,53,14-08-24,Home,38.4,2,5,1,5,Not Returned,PayPal,South
1262,,23-12-24,Electronics,20.25,7,15,23,5,Not Returned,PayPal,South
1083,45,30-08-23,Sports,21.65,7,25,8,2,Not Returned,UPI,Central
1387,72,25-07-23,Home,66.02,6,5,98,1,Not Returned,Credit Card,Central
1082,51,31-03-24,Clothing,27.03,3,15,21,1,Not Returned,Debit Card,West
1275,51,09-01-24,Sports,75.96,4,0,21,1,Returned,Debit Card,North
1040,39,18-11-23,Home,53.53,4,5,23,2,Not Returned,UPI,East
1213,53,20-04-24,Home,56.16,8,25,9,3,Not Returned,Debit Card,Central
1409,28,22-10-24,Home,119.31,9,15,16,4,Not Returned,Credit Card,West
1455,24,23-03-23,Clothing,85.59,7,20,1,3,Not Returned,Credit Card,West
1393,61,29-09-23,Sports,46.47,4,0,21,1,Not Returned,UPI,Central
1290,62,07-03-24,Electronics,21.54,5,0,8,3,Not Returned,Credit Card,East
1175,46,15-04-24,Sports,21.56,1,15,22,2,Not Returned,UPI,West
1190,58,26-06-23,Clothing,53.34,2,15,15,3,Not Returned,Credit Card,South
1267,20,23-05-24,Books,56.24,4,20,22,1,Not Returned,UPI,North
1160,33,15-06-24,Home,206.21,5,15,8,2,Not Returned,PayPal,South
1191,29,09-03-23,Clothing,123.35,5,0,3,1,Not Returned,PayPal,Central
1228,41,14-10-23,Home,29.3,6,15,8,3,Not Returned,PayPal,West
1177,67,19-05-24,Clothing,51.05,8,20,3,1,Not Returned,UPI,East
1219,32,19-04-24,Clothing,34.93,9,25,23,,Not Returned,UPI,East
1108,31,05-07-24,Clothing,95.67,3,0,20,3,Not Returned,Debit Card,East
1045,51,08-07-23,Sports,312.58,6,10,13,2,Not Returned,PayPal,Central
1273,64,24-09-24,Clothing,80.98,5,10,17,5,Not Returned,UPI,West
1158,40,09-07-24,Books,122.7,8,25,17,4,Not Returned,PayPal,Central
1484,,03-04-24,Electronics,96.17,3,25,25,3,Not Returned,Debit Card,West
1044,50,25-10-24,Clothing,35.98,2,5,2,4,Not Returned,UPI,West
1326,23,22-06-24,Books,33.56,7,0,,,Not Returned,UPI,West
1212,43,20-05-24,Electronics,49.47,1,20,28,2,Not Returned,Debit Card,South
1131,72,01-11-23,Books,31.17,2,15,15,3,Not Returned,PayPal,South
1189,22,22-01-24,Sports,84.6,7,20,25,3,Not Returned,UPI,Central
1118,35,17-05-23,Clothing,61.01,8,15,16,3,Returned,PayPal,North
1496,25,15-09-23,Clothing,65.89,8,5,4,5,Not Returned,PayPal,East
1312,68,27-02-23,Home,102.47,2,5,14,1,Not Returned,UPI,North
1361,30,11-10-23,Electronics,34.84,4,5,24,3,Not Returned,UPI,Central
1448,57,03-07-24,Books,58.07,5,15,12,4,Returned,Credit Card,Central
1364,50,03-02-24,Sports,101.23,7,15,5,2,Not Returned,PayPal,North
1113,55,09-11-24,Home,235.86,5,10,6,,Not Returned,UPI,West
1242,62,27-11-24,Home,112.95,8,0,,4,Not Returned,Debit Card,West
1034,64,23-11-24,Sports,89.25,9,0,13,4,Returned,UPI,East
1054,34,15-10-24,Sports,73.14,2,5,92,1,Not Returned,UPI,West
1398,28,10-11-23,Books,95.83,2,10,5,3,Not Returned,Credit Card,Central
1287,43,06-12-23,Electronics,68.1,3,10,10,4,Not Returned,Debit Card,South
1161,48,26-09-23,Clothing,40.54,4,0,19,3,Not Returned,UPI,North
1104,40,07-01-24,Home,65.82,2,10,28,3,Not Returned,Credit Card,North
1493,73,22-07-23,Clothing,38.23,3,25,29,2,Not Returned,PayPal,West
1162,28,06-04-24,Clothing,30.05,5,0,6,5,Not Returned,UPI,West
1178,68,10-10-23,Home,121.35,9,25,22,3,Not Returned,PayPal,North
1293,74,23-08-24,Books,76.43,7,20,20,5,Not Returned,UPI,East
1039,42,14-05-24,Electronics,39.55,2,20,,2,Returned,UPI,North
1334,19,26-03-23,Sports,43.88,1,10,8,2,Returned,PayPal,West
1179,36,14-11-24,Electronics,84.95,9,0,10,2,Not Returned,UPI,Central
1453,,06-11-23,Home,74.21,2,20,22,4,Returned,PayPal,North
1008,45,24-09-24,Sports,69.96,6,15,5,3,Not Returned,UPI,Central
1488,64,25-07-23,Home,35.27,7,20,17,2,Not Returned,Credit Card,West
1278,57,19-04-24,Clothing,75.83,6,25,19,4,In Process,UPI,North
1046,58,28-04-24,Electronics,47.77,2,10,19,4,Not Returned,Credit Card,South
1221,,25-04-24,Electronics,39.67,5,10,2,2,Returned,Credit Card,West
